article_text,human_headline,BART_original_headline,BART_finetuned_headline
"March 18 (Reuters) - Hotel revenue slumped globally in February as the coronavirus outbreak across the world led to travel bans and canceled vacations, with Hong Kong taking the biggest hit, according to analytics firm STR. Data from STR, which runs a benchmarking platform for over 68,000 registered chains, groups and individual properties, showed revenue per available room (RevPAR) - a key metric for the industry - in Hong Kong fell 85.9% in February from a year earlier and 82.2% in mainland China. Chinese-ruled Hong Kong city had already been reeling under disruptions caused by intense clashes since pro-democracy protests escalated in June last year. Interactive graphic https://tmsnrt.rs/33sqi4b on February RePAR The highly contagious novel coronavirus that has exploded into a global pandemic has forced major hotel operators including Hyatt Hotels, Marriott and IHG to offer waivers on cancellations and changes in bookings for travelers in several countries and also shut hotels. Most recently, Hyatt withdrew its 2020 earnings outlook, while the world's biggest hotel operator Marriott warned the outbreak could significantly hurt its full-year results. South Korea, Singapore and Thailand saw RevPAR fall between 30% and 47%, STR said. In the United States, San Francisco revenue fell 12%, while New York dropped 0.2% and Los Angeles 1.6%. Airlines have also made unprecedented cuts to flights, costs and staffing and stepped up calls for emergency aid as coronavirus lockdowns and new travel restrictions hit more major routes. Shares of Marriott were down 30%, Hyatt's were 23% lower and U.S.-listed shares of IHG fell 7.5%. (Reporting by Noor Zainab Hussain in Bengaluru; Editing by Shinjini Ganguli)",Coronavirus pandemic guts hotel stay demand - data,hotel revenue slumped globally in february as the coronavirus outbreak across the world led to travel bans and canceled vacations. data from str showed revenue per available room ( revpar ) -  a key metric for the industry -  in hong kong fell 85.9 % in february from a year earlier.,"global hotel revenue slumps in february as coronavirus spreads , hong kong worst hit -  str"
"(Adds details) LONDON, Jan 30 (Reuters) - BT said Britain's decision to limit Huawei's role in building 5G and fibre networks would increase the cost of its gigabit-communications plan by about 500 million pounds ($657 million) over five years. Philip Jansen, chief executive of Britain's biggest broadband and mobile provider, said he welcomed the clarity around the use of vendors such as Huawei, a long-standing BT partner. ""(We) agree that the priority should be the security of the UK's communications infrastructure,"" he said in a third-quarter trading update on Thursday. ""We are in the process of reviewing the guidance in detail to determine the full impact on our plans and at this time estimate an impact of around 500 million pounds over the next 5 years."" BT reported a worse-than-expected 3% drop in third-quarter revenue to 5.78 billion pounds ($7.6 billion), saying it was impacted by regulation, competition and legacy product declines. Core earnings were also below market forecasts, down 4% to 1.98 billion pounds, which the company blamed on the fall in revenue, higher spectrum fees, investment in customer experience and higher operating costs in its networks arm Openreach. Analysts were expecting the company to report total group revenue of 5.83 billion pounds and core earnings of 1.995 billion pounds, according to a company-supplied consensus. BT said it remained on track for the year, although its free cash flow would be in the lower half of its 1.9 billion to 2.1 billion guidance range. ($1 = 0.7608 pounds) (Reporting by Paul Sandle; editing by James Davey)",UPDATE 1-BT says cap on Huawei in UK networks will cost it 500 mln stg, bt said britain's decision to limit huawei's role in building 5g and fibre networks would increase the cost of its gigabit-communications plan by about 500 million pounds ($ 657 million ) over five years. bt reported a worse-than-expected 3 % drop in third-quarter revenue to 5.78 billion pounds ($ 7.6 billion),update 1-bt says uk ban on huawei will cost it 500 mln pounds over 5 years
"SANTIAGO, Dec 12 (Reuters) - Chilean lawmakers voted on Thursday to reject a move to impeach President Sebastian Pinera over allegations that he had failed to prevent human rights abuses over weeks of protests. Lawmakers tossed the motion out on grounds that it did not meet the Constitutional threshold for ousting a sitting president. (Reporting by Dave Sherwood Editing by Chizu Nomiyama)",Chile's Congress rejects move to impeach President Pinera over rights abuses,lawmakers tossed the motion out on grounds that it did not meet the constitutional threshold for ousting a sitting president.,chilean lawmakers reject move to impeach president pinera over human rights abuses
"ZURICH, Oct 25 (Reuters) - UBS Group AG aims to grow wealth management profits at the upper end of its target range over the 2019-2021 period and set a target for net new money growth of at least 3 percent by 2021 from the current 2 to 4 percent, the world's largest wealth manager said on Thursday. Switzerland's biggest bank said it is targeting a cost/income ratio of around 77 percent for 2019 and 72 percent in 2021. It had previously set a target for a cost/income ratio below 75 percent for 2018-2020. (Reporting by Michael Shields; editing by Brenna Hughes Neghaiwi)",UBS sees wealth management inflows of at least 3 pct by 2021,switzerland's biggest bank said it is targeting a cost/income ratio of around 77 percent for 2019 and 72 percent in 2021. it had previously set a target for a cost/income ratio below 75 percent for 2018-2020.,ubs aims to grow wealth management profits at upper end of target range over 2019-2021
"* For more technical analyses, click SINGAPORE, Jan 13 (Reuters) - Spot gold is biased to break a support at $1,546 and fall towards $1,524 per ounce, as suggested by a projection analysis. The support is identified as the 138.2% projection level of an uptrend from $1,265.90. A big shooting star forming on Jan. 8 suggests a dissipation of the bullish momentum. Either a wave (5) from the Nov. 12 low of $1,445.18 has completed, or a deep correction is developing. Unless gold could break the immediate resistance at $1,568, it is likely to extend its loss towards $1,524. A retracement analysis on the downtrend from the 2011 high to the 2015 low of $1,045.85 reveals a strong resistance at $1,586, the 61.8% level. Apparently, gold failed to overcome this barrier. It is expected to hover below this level for one or two weeks. * Charts are not available in reports received in email box through ""Alert"". To get charts, use the news code of to retrieve the original reports. ** Wang Tao is a Reuters market analyst for commodities and energy technicals. The views expressed are his own. No information in this analysis should be considered as being business, financial or legal advice. Each reader should consult his or her own professional or other advisers for business, financial or legal advice regarding the products mentioned in the analyses. (Reporting by Wang Tao; Editing by Shailesh Kuber)","TECHNICALS-Spot gold may fall towards $1,524","spot gold is biased to break a support at $ 1,546 and fall towards $ 1,524 per ounce. the support is identified as the 138.2 % projection level of an uptrend from $ 1,265.90.","technicals-spot gold biased to fall towards $ 1,524 per ounce"
"BAGHDAD, March 26 (Reuters) - Iraq is extending a travel ban within the country and to and from its airports until April 11 as part of strict steps to curb the outbreak of the coronavirus, the government said in a statement. Iraq's authorities began the restrictions on March 17, banning travel and all inbound and outbound flights from the country's airports. At least 346 cases of coronavirus have been confirmed so far in Iraq, according to the Health Ministry, and 29 people have died. (Reporting by Ahmed Rasheed; Editing by Alison Williams)",Iraq extends flight and travel ban to prevent coronavirus spread,iraq is extending a travel ban within the country and to and from its airports until april 11 as part of strict steps to curb the outbreak of the coronavirus. at least 346 cases of coronavirus have been confirmed so far in iraq and 29 people have died.,iraq extends travel ban until april 11 to curb coronavirus outbreak
"(Adds detail) HAMBURG, July 20 (Reuters) - The Taiwan Flour Millers' Association has issued an international tender to purchase 102,775 tonnes of grade 1 milling wheat to be sourced from the United States, European traders said on Friday. The tender deadline is July 26, they said. The wheat is sought in two consignments for shipment from the U.S. Pacific northwest coast. The first consignment totalling 53,225 tonnes is sought for shipment from Sept. 11-25. The second, of 49,550 tonnes, is sought for shipment between Sept. 28 and Oct. 12, they said. The tender seeks a range of wheat types. In its last reported tender on June 26, the association purchased 95,350 tonnes of milling wheat also to be sourced from the United States. (Reporting by Michael Hogan; Editing by Dale Hudson)","UPDATE 1-Taiwan flour mills tender for 102,775 tonnes U.S. wheat","the wheat is sought in two consignments for shipment from the u.s . pacific northwest coast. the first consignment totalling 53,225 tonnes is sought for shipment from sept . 11-25. the second consignment of 49,550 tonnes is sought for shipment between sept . 28 and oct . 12.","update 1-taiwan tenders to buy 102,775 tonnes wheat of u.s.-origin"
"(Corrects paragraph 15 to say Kuwait Petroleum seeks LNG cargo,not offers) * Chinese demand still low due to ongoing celebrations * Temperatures to go above normal after brief dip - data * Outages fail to lift prices By Jessica Jaganathan SINGAPORE, Feb 15 (Reuters) - Asian spot prices forliquefied natural gas (LNG) continued their downward spiral thisweek, hitting a 17-month low as the market moved further awayfrom the peak winter demand period and inventories remained highin the region. Spot prices for March delivery to Asia <LNG-AS> fell to$6.50 per million British thermal units (mmBtu) this week, down20 cents from the previous week to their lowest since Sept. 8,2017, trade sources said. April prices are estimated at about $6.30 per mmBtu, thesources said. Demand in China remained tepid as many factories there werestill shut for Lunar New Year celebrations, trade sources said.The Lunar New Year fell on Feb. 5 and 6 this year, but thefestival typically lasts for about two weeks. While temperatures in Beijing and Shanghai dipped belownormal briefly, they are expected to get warmer next week,weather data from Refinitiv Eikon showed. ""It snowed in Beijing but it's not that cold still, plus thefactories are still shut, so the inventory levels are stillquite high,"" a China-based trade source said. Several unplanned outages failed to lift prices, indicatingjust how weak demand is currently, trade sources said. Loadings of LNG cargoes at Malaysia's Bintulu export plant,operated by Petronas, were delayed this week due to lowerproduction, sources have said. But the delay was due to minor glitches at the plant whichhave since been resolved, one of the sources said. Woodside Petroleum's Pluto LNG facility has also resumedfull output after a brief outage. With prices falling, there is also less incentive forproducers to keep output at high levels, an industry sourcesaid. Natural gas flows to U.S. LNG export terminals were expectedto increase in coming days after collapsing to their lowestlevel in almost a year as fog clears along the U.S. Gulf Coast. Analysts said the drop was due to maintenance work at theLNG terminals and pipelines feeding them, and fog, which hadforced several vessels to drop anchor in the Gulf of Mexico. At least one LNG cargo was delayed briefly from CheniereEnergy Inc's Sabine Pass terminal in Louisiana, but loadingshave since resumed, a source familiar with the matter said. Supply remained ample in Asia with Indonesia's Donggi-SenoroLNG export plant offering a cargo for April, while KuwaitPetroleum Corp was seeking a cargo for March. Indonesia's Pertamina sold four cargoes it had offered forMarch 2019 to early 2020 from its Bontang plant, although priceand buyer details could not immediately be confirmed.(Reporting by Jessica Jaganathan; Additional reporting by JaneChung and Wilda Asmarini; Editing by Tom Hogue)",CORRECTED-GLOBAL LNG-Asian prices drop to 17-month low on tepid demand,"spot prices for march delivery to asia fell to $6.50 per million british thermal units ( mmbtu ) this week, down20 cents from the previous week. april prices are estimated at about $ 6.30 per mmbtu , the sources said. demand in china remained tepid as many factories there werestill shut for lunar new year celebrations.",corrected-update 1-asian lng-prices hit 17-month low as market moves further away from peak winter demand period
"BEIRUT, Oct 29 (Reuters) - Lebanon's President Michel Aoun is studying Prime Minister Saad al-Hariri's resignation letter and will not issue a request for the cabinet to take on a caretaker role on Tuesday, a source in the presidency said. Hariri submitted his resignation on Tuesday, declaring he had hit a ""dead end"" in trying to resolve the country's crisis amid an unprecedented wave of protests against Lebanon's ruling elite. (Reporting by Ellen Francis Editing by Chris Reese)",Lebanon's Aoun will not request caretaker cabinet on Tuesday -source,"lebanon's president michel aoun is studying prime minister saad al-hariri's resignation letter. he will not issue a request for the cabinet to take on a caretaker role on t tuesday. hariri submitted his resignation on t tuesday declaring he had hit a "" dead end """,lebanon's aoun will not ask cabinet to take caretaker role on tuesday - presidency source
"By Will Boggs MD NEW YORK (Reuters Health) - Incorporating two pathological features obtainable from biopsies could improve prediction of outcomes and guide treatment choices in men with prostate cancer, according to a new proof-of-principle study. Invasive cribriform and/or intraductal carcinoma (CR/IDC) are pathological features that independently predict disease-specific survival (DSS) and biochemical recurrence-free survival (BCRFS), but they are not included in current grading systems. Dr. Geert J. L. H. van Leenders of Erasmus University Medical Center, in Rotterdam, the Netherlands, and colleagues investigated whether incorporation of CR/IDC into the current Gleason score-based grade groups improved prediction of prostate cancer outcomes in their study of more than 1,000 men with prostate cancer who participated in the Dutch part of the European Randomized Study of Screening for Prostate Cancer. The new cribriform Grade (cGrade) is equal to the Gleason score-based Grade Group (GG) if CR/IDC is present and equal to the GG minus 1 if CR/IDC is absent (for GG2-5). For men with GG1, the cGrade is also 1, except in the rare case of GG1 with concomitant intraductal carcinoma, where the assigned cGrade is 2. Incorporation of CR/IDC in the cGrade had the most prominent effect in GG2 tumors, 82.6% of which were classified as cGrade1. DSS in these men was not significantly different from that of men with GG1 prostate cancer. Reclassification occurred in 42.3% of GG3, 48.4% of GG4 and 37.3% of GG5 cases, while only 0.8% (4/486) of patients with GG1 were upgraded to cGrade2 due to the presence of intra-ductal carcinoma, the researchers report in European Urology, online August 19. The cGrade had significantly higher discriminative value in predicting DSS than did GG (C-index, 0.79 vs. 0.76, p=0.029), nominally better discrimination for metastasis-free survival (MFS) (C-index, 0.79 vs. 0.77, P=0.062), and comparable discriminative value for BCRFS after radiation therapy (C-index, 0.71 vs. 0.72; P=0.2). The total number of men who fulfilled the Prostate Cancer Research International Active Surveillance criteria for active surveillance would increase from 272 (26.4%) to 356 (34.5%) if cGrade1 was used instead of GG1. ""The cGrade is a simple prostate cancer grade modification with better discriminative values for DSS and MFS than the GG, particularly impacting decision making in men with current GG2 prostate cancer,"" the researchers conclude. Dr. Jonathan Epstein from The Johns Hopkins Medical Institutions, in Baltimore, Maryland, who studies prostate cancer and its grading, told Reuters Health by email that ""very-low-grade prostate cancers (Grade Group 1 = Gleason score 3+3 = 6)"" often do not need treatment. ""Then there are overt higher-grade cancers (Grade Groups 3-5 = Gleason scores 4+3 = 7; 4+4 = 8; 9-10) which definitely need treatment,"" he added. ""However, there is a group of intermediate-grade cancers, (Grade Group 2 = Gleason score 3+4 = 7) of which some need treatment and some may not (depending on whether the patient is older, has co-morbidity, etc.), where pathologists are trying to find out factors on biopsy to tell the favorable Grade Group 2 versus the unfavorable."" ""This study is one such attempt. However, it won't be adopted in widespread practice currently as there are too many questions of how the study was done,"" he added. ""None of the results are surprising,"" Dr. Epstein said, ""in part because cribriform glands are considered together with intraductal carcinoma, which is a markedly adverse finding on prostate biopsy."" Dr. van Leenders did not respond to a request for comments. SOURCE: https://bit.ly/2ktYfPN Eur Urol 2019.",Added biopsy information could improve prostate-cancer-biopsy grading,invasive cribriform and/or intraductal carcinoma ( cr/idc) are pathological features that independently predict disease-specific survival ( dss) and biochemical recurrence-free survival ( bcrfs) the new cribriform grade ( cgrade) is equal to the gleason score-based grade group ( gg) if cr/idc is present and equal to the gg minus 1 if cr/idc is absent.,"biopsy features may improve prostate cancer outcomes , guide treatment choices"
